date,equity,open_trades,closed_trades,margin_used,capacity_utilization,capacity_utilization_initial,day_mtm_pnl,theta_pnl_est,delta,gamma,vega,theta,equity_adjusted,drawdown
2020-05-11,108381286.83209093,318,17880,10105043.8270941,0.11654507113794099,1.2631304783867625,79518.90896644942,32724.595288219913,-33349165.384753875,-7959217.783154573,-45044.31225142241,32724.595288219913,108128266.79660901,0.0
2020-05-12,108387084.25504558,318,17880,10110126.093817735,0.11659744981730946,1.2637657617272169,5284.384820661151,31345.70239472444,-33442913.099190254,-7349424.180177151,-44339.04757781032,31345.70239472444,108134064.21956366,0.0
2020-05-13,108418533.31235358,318,17880,10142779.420101069,0.11694010136255649,1.2678474275126337,30583.07711207568,32300.699755799607,-33737501.29732273,-6688678.113723372,-43957.57889056929,32300.699755799607,108165513.27687167,0.0
2020-05-14,108584778.42611252,318,17880,10191852.393468937,0.11732597953869833,1.273981549183617,165421.86774531097,29536.312625707687,-34137337.524063475,-6001006.272803749,-41584.46222982767,29536.312625707687,108331758.3906306,0.0
2020-05-15,108655735.8935547,312,17886,10133399.458818488,0.11657690428724511,1.266674932352311,70154.0788858433,25746.156172548333,-34816942.492344,-4928833.143640262,-41481.96808950326,25746.156172548333,108402715.85807279,0.0
2020-05-18,108745702.75734152,318,17907,10311015.680439914,0.11852210500041813,1.2888769600549892,100939.86610509316,27394.770411251822,-35320151.55091073,-4704486.62509228,-47564.973308441906,27394.770411251822,108492682.7218596,0.0
2020-05-19,108776607.07547922,318,17907,10382077.432239233,0.11930503385984441,1.297759679029904,30541.74695959938,26626.402305395568,-36113917.22063114,-4604950.8348485315,-47910.06371343647,26626.402305395568,108523587.03999731,0.0
2020-05-20,108853988.50972916,318,17907,10394822.60404675,0.11936657933206647,1.2993528255058437,76599.85862228376,26553.894874729955,-36326514.63625183,-4626936.937421684,-47538.27332568191,26553.894874729955,108600968.47424725,0.0
2020-05-21,108907525.51238291,318,17907,10319438.167980827,0.11844266637487204,1.2899297709976034,52795.79163437329,25805.111815304757,-35544592.79576385,-4475648.821790827,-48253.845258757014,25805.111815304757,108654505.476901,0.0
2020-05-22,108962746.1068599,315,17910,10225278.557775937,0.11730246028018597,1.278159819721992,54432.717022888144,24975.77964510508,-35157796.1300424,-4430500.4390021125,-47671.61660748167,24975.77964510508,108709726.07137798,0.0
