date,delta,gamma,vega,theta
2022-08-29,-6559860.0684858635,-234382.60906730793,-11217.332114661815,9144.313936241088
2022-08-30,-6874862.266296358,-205491.98466689934,-11638.86522603435,9521.82589413104
2022-08-31,-6811519.449372861,-202425.17060535328,-11696.808877990763,9656.457685444462
2022-09-01,-6794420.818137859,-197002.66590035034,-11439.920085338104,9183.783603554906
2022-09-02,-6823384.757458826,-209531.5411904381,-11481.333821129674,9878.964275292901
2022-09-05,-6594543.41838829,-200920.5750495828,-11046.587278819246,8641.805270184788
2022-09-06,-7072497.549343691,-206218.4080279134,-11538.571093418794,9713.362548347823
2022-09-07,-7197702.147994253,-200828.23123584475,-11162.706947211447,9404.768811878479
2022-09-08,-7153150.952046403,-239929.41453728103,-11174.744813626789,9478.426482324716
2022-09-09,-7106919.247341799,-249068.88373539102,-11521.29404991055,10055.526318802993
2022-09-12,-6860509.752097708,-243092.6632299574,-11362.193646952228,9217.916376234916
2022-09-13,-7114366.570959416,-262543.4788138248,-12000.760417023828,9361.635821762588
2022-09-14,-7021844.716500738,-261045.4999536024,-11583.781507660868,8677.671715171558
2022-09-15,-6950229.51864468,-259187.41673232254,-11316.414709602008,8291.895352890435
2022-09-16,-6967211.817833793,-257064.5658159547,-11180.357301666994,8210.9026739147
2022-09-19,-7011490.723541694,-218117.1729574586,-10703.977068837989,8249.547804939633
2022-09-20,-7035715.408505802,-217757.45912264808,-10784.055399444705,8533.017221554961
2022-09-21,-7057690.503048161,-180964.2777398574,-10335.676515298645,8287.035345259039
2022-09-22,-7202591.60460103,-227358.56939912305,-10914.768076076596,9143.897632210068
2022-09-23,-6865152.606106976,-182191.87900414085,-10361.79693063695,8057.6551844316455
2022-09-26,-6808408.009487859,-201462.42953534587,-10083.684691878167,8137.859922173313
2022-09-27,-6814176.467573398,-201215.9434730727,-10020.482259659495,8372.604904910193
2022-09-28,-6843466.489162142,-158906.95090679824,-9910.206471929032,8037.676560864212
2022-09-29,-7202513.392077116,-171074.76009582877,-11115.250160405923,9733.085227803953
2022-09-30,-6968846.336083006,-157510.63167085373,-10881.83911602394,9136.898450398043
2022-10-03,-7115349.9240218485,-166338.17546959565,-10802.181859435199,9618.968458623174
2022-10-04,-7216928.019322662,-169263.5560676035,-10732.099046001338,9833.857698435699
2022-10-05,-7062850.716887963,-165125.13327258223,-10867.583349235761,8250.19424184892
2022-10-06,-7280735.9820545325,-167671.96601337715,-12238.493798349993,9663.182323858664
2022-10-07,-6989799.211918074,-166876.71165176015,-12082.051868743367,9523.515493089546
2022-10-10,-6904090.57266046,-165706.4193604394,-11747.22415734549,9902.85067997538
2022-10-11,-6945153.36165115,-162323.7137557193,-11388.537947746247,11154.387960482638
2022-10-12,-6890849.549867175,-160135.79596320225,-11334.154150347327,10239.741439270905
2022-10-13,-7341678.940372591,-96839.639328754,-11789.363940246227,10307.539020667786
2022-10-14,-7127450.548755209,-89280.32965299071,-11528.697537999627,10082.228892082323
2022-10-17,-7192152.996911737,-86980.94788310037,-11320.297530358479,10872.038603532437
2022-10-18,-7218723.065656273,-109437.49859600447,-11246.364885631152,10972.903450043905
2022-10-19,-7121512.1047165645,-101789.98463398416,-11207.783504661451,11545.526088982104
2022-10-20,-7155824.7339801155,-92687.32010784822,-11126.394037798562,10802.493239073374
2022-10-21,-7049148.024707311,-100123.06612268751,-11182.246337328907,10505.979236778174
2022-10-24,-7082620.223112963,-126662.80723023559,-11831.068084844972,10801.090702553693
2022-10-25,-7017680.964509815,-186946.1496883431,-12482.939377014856,11431.457580007134
2022-10-26,-7039054.714113146,-234418.50297307287,-12495.287825304065,11645.802377952366
2022-10-27,-6956895.667885356,-233630.39250047258,-12591.306677705745,10304.983045203478
2022-10-28,-6804472.5195126515,-229116.52142851686,-12382.350078564245,10139.398983561474
2022-10-31,-6793868.750455058,-236763.46237670968,-12994.080737517614,10097.068936127811
2022-11-01,-6832128.915786719,-237431.21632817277,-12872.204567400811,9998.030703806578
2022-11-02,-6814385.211704474,-236914.3910563136,-12518.333755235923,11298.097417707326
2022-11-03,-6820186.792475026,-235036.8340262795,-12390.247741674808,11257.737869431518
2022-11-04,-6906330.437666344,-233068.00674011826,-12391.566932933945,11108.758097612576
2022-11-07,-6906063.5400853185,-233339.44595674807,-12710.116325663485,11011.182432816136
2022-11-08,-6958840.402676703,-234878.99826860728,-13159.124431386732,10156.528352467178
2022-11-09,-6940035.195176527,-240772.75019282737,-12947.37847654662,10178.543019601691
2022-11-10,-7036278.469327083,-242903.3642441143,-13115.18340193144,9857.557784378678
2022-11-11,-6924967.354785332,-247826.6171265519,-13014.16096369477,9009.04702632456
2022-11-14,-7163735.583032458,-261119.87611676176,-13574.122170027726,9563.34620283682
2022-11-15,-7203017.659907891,-258877.39384951026,-13414.49844626249,9547.224711907218
2022-11-16,-7206829.423223287,-258447.201156979,-13309.47276300375,9651.929919541391
2022-11-17,-7177726.821481963,-247322.01485756555,-13301.322317974045,9674.073464509813
2022-11-18,-7170404.754724889,-247077.6968157069,-13021.260777584683,9628.063740006803
2022-11-21,-7325570.350554047,-244940.3188631197,-13735.614943374005,9416.261399389436
2022-11-22,-7257048.856620264,-243660.24906790294,-13638.708698618268,9178.754890319173
2022-11-23,-7392093.622012554,-241753.22995374078,-13100.176849716581,10152.188401006379
2022-11-24,-7397290.836339679,-242275.3143873675,-12960.730926810415,10365.913606736545
2022-11-25,-7435773.982933931,-234188.79604488547,-12705.874560253324,10277.766866761493
2022-11-28,-7385097.845005589,-239894.5881741469,-13555.610864786788,8968.56006288965
2022-11-29,-7388777.084214519,-238143.83261145826,-13427.660475746012,8799.802584760486
2022-11-30,-7508272.3329528365,-236176.16186538417,-13130.816327213743,9706.644534510746
