date,pair,open_trades
2023-09-18,NZDJPY,14
2023-09-18,AUDJPY,8
2023-09-18,EURAUD,4
2023-09-18,USDNOK,1
2023-09-19,XAUUSD,93
2023-09-19,USDCAD,1
2023-09-19,EURSEK,1
2023-09-19,CHFJPY,52
2023-09-19,USDJPY,39
2023-09-19,EURJPY,17
2023-09-19,XAGUSD,41
2023-09-19,EURNOK,4
2023-09-19,CADJPY,25
2023-09-19,GBPJPY,22
2023-09-19,NZDJPY,13
2023-09-19,AUDJPY,8
2023-09-19,EURAUD,4
2023-09-19,USDNOK,1
2023-09-20,XAUUSD,93
2023-09-20,USDCAD,1
2023-09-20,EURSEK,1
2023-09-20,CHFJPY,52
2023-09-20,USDJPY,38
2023-09-20,EURJPY,16
2023-09-20,XAGUSD,40
2023-09-20,EURNOK,4
2023-09-20,CADJPY,25
2023-09-20,GBPJPY,22
2023-09-20,NZDJPY,13
2023-09-20,AUDJPY,8
2023-09-20,EURAUD,4
2023-09-20,USDNOK,1
2023-09-21,XAUUSD,93
2023-09-21,USDCAD,1
2023-09-21,EURSEK,1
2023-09-21,CHFJPY,52
2023-09-21,USDJPY,38
2023-09-21,EURJPY,16
2023-09-21,XAGUSD,40
2023-09-21,EURNOK,4
2023-09-21,CADJPY,25
2023-09-21,GBPJPY,22
2023-09-21,NZDJPY,13
2023-09-21,AUDJPY,8
2023-09-21,EURAUD,4
2023-09-21,USDNOK,1
2023-09-22,XAUUSD,93
2023-09-22,USDCAD,1
2023-09-22,EURSEK,1
2023-09-22,CHFJPY,52
2023-09-22,USDJPY,38
2023-09-22,EURJPY,16
2023-09-22,XAGUSD,40
2023-09-22,EURNOK,4
2023-09-22,CADJPY,25
2023-09-22,GBPJPY,22
2023-09-22,NZDJPY,13
2023-09-22,AUDJPY,8
2023-09-22,EURAUD,4
2023-09-22,USDNOK,1
2023-09-25,XAUUSD,92
2023-09-25,USDCAD,1
2023-09-25,EURSEK,1
2023-09-25,CHFJPY,51
2023-09-25,USDJPY,36
2023-09-25,EURJPY,15
2023-09-25,XAGUSD,37
2023-09-25,EURNOK,4
2023-09-25,CADJPY,25
2023-09-25,GBPJPY,22
2023-09-25,NZDJPY,13
2023-09-25,AUDJPY,7
