date,pair,open_trades
2023-01-31,EURGBP,8
2023-01-31,GBPNZD,1
2023-01-31,NZDJPY,5
2023-01-31,AUDUSD,15
2023-01-31,USDJPY,12
2023-01-31,GBPCAD,5
2023-01-31,NZDUSD,6
2023-01-31,EURSEK,2
2023-01-31,USDSEK,7
2023-01-31,USDNOK,15
2023-01-31,EURNOK,11
2023-01-31,XAGUSD,6
2023-01-31,AUDJPY,4
2023-01-31,CHFJPY,6
2023-02-01,CADJPY,20
2023-02-01,EURUSD,17
2023-02-01,GBPCHF,28
2023-02-01,EURJPY,22
2023-02-01,EURAUD,18
2023-02-01,GBPJPY,8
2023-02-01,GBPUSD,5
2023-02-01,USDCHF,26
2023-02-01,USDCAD,15
2023-02-01,EURCAD,3
2023-02-01,XAUUSD,37
2023-02-01,EURCHF,15
2023-02-01,EURGBP,7
2023-02-01,GBPNZD,1
2023-02-01,NZDJPY,5
2023-02-01,AUDUSD,14
2023-02-01,USDJPY,12
2023-02-01,GBPCAD,5
2023-02-01,NZDUSD,6
2023-02-01,EURSEK,2
2023-02-01,USDSEK,7
2023-02-01,USDNOK,15
2023-02-01,EURNOK,11
2023-02-01,XAGUSD,6
2023-02-01,AUDJPY,4
2023-02-01,CHFJPY,6
2023-02-02,CADJPY,20
2023-02-02,EURUSD,17
2023-02-02,GBPCHF,28
2023-02-02,EURJPY,22
2023-02-02,EURAUD,18
2023-02-02,GBPJPY,8
2023-02-02,GBPUSD,5
2023-02-02,USDCHF,26
2023-02-02,USDCAD,15
2023-02-02,EURCAD,3
2023-02-02,XAUUSD,37
2023-02-02,EURCHF,15
2023-02-02,EURGBP,7
2023-02-02,GBPNZD,1
2023-02-02,NZDJPY,5
2023-02-02,AUDUSD,14
2023-02-02,USDJPY,12
2023-02-02,GBPCAD,5
2023-02-02,NZDUSD,6
2023-02-02,EURSEK,2
2023-02-02,USDSEK,7
2023-02-02,USDNOK,15
2023-02-02,EURNOK,11
2023-02-02,XAGUSD,6
2023-02-02,AUDJPY,4
2023-02-02,CHFJPY,6
2023-02-03,EURJPY,22
2023-02-03,EURUSD,17
2023-02-03,GBPCHF,28
2023-02-03,EURAUD,19
2023-02-03,GBPJPY,9
2023-02-03,CADJPY,20
2023-02-03,GBPUSD,7
2023-02-03,USDCHF,25
2023-02-03,USDCAD,15
2023-02-03,EURCAD,2
2023-02-03,XAUUSD,37
2023-02-03,EURCHF,15
2023-02-03,EURGBP,7
2023-02-03,GBPNZD,1
2023-02-03,NZDJPY,5
2023-02-03,AUDUSD,14
2023-02-03,USDJPY,15
2023-02-03,GBPCAD,5
2023-02-03,EURSEK,3
2023-02-03,USDSEK,7
2023-02-03,USDNOK,15
2023-02-03,EURNOK,11
2023-02-03,AUDJPY,5
2023-02-03,CHFJPY,7
2023-02-03,NZDUSD,4
2023-02-03,XAGUSD,8
2023-02-03,GBPAUD,1
2023-02-06,EURJPY,21
2023-02-06,EURUSD,17
2023-02-06,GBPCHF,28
2023-02-06,EURAUD,18
2023-02-06,GBPJPY,8
2023-02-06,CADJPY,20
2023-02-06,GBPUSD,7
2023-02-06,USDCHF,24
2023-02-06,USDCAD,14
2023-02-06,EURCAD,2
2023-02-06,XAUUSD,36
2023-02-06,EURCHF,15
2023-02-06,EURGBP,7
2023-02-06,GBPNZD,1
2023-02-06,NZDJPY,5
2023-02-06,AUDUSD,14
2023-02-06,USDJPY,15
2023-02-06,GBPCAD,5
2023-02-06,EURSEK,3
2023-02-06,USDSEK,7
2023-02-06,USDNOK,15
2023-02-06,EURNOK,11
2023-02-06,AUDJPY,5
2023-02-06,CHFJPY,7
2023-02-06,NZDUSD,4
2023-02-06,XAGUSD,8
2023-02-06,GBPAUD,1
2023-02-07,EURJPY,21
2023-02-07,EURUSD,17
2023-02-07,GBPCHF,28
2023-02-07,EURAUD,18
2023-02-07,GBPJPY,8
2023-02-07,CADJPY,20
2023-02-07,GBPUSD,7
2023-02-07,USDCHF,24
2023-02-07,USDCAD,14
2023-02-07,EURCAD,2
2023-02-07,XAUUSD,36
2023-02-07,EURCHF,15
2023-02-07,EURGBP,7
2023-02-07,GBPNZD,1
2023-02-07,NZDJPY,5
2023-02-07,AUDUSD,14
2023-02-07,USDJPY,15
2023-02-07,GBPCAD,5
2023-02-07,EURSEK,3
2023-02-07,USDSEK,7
2023-02-07,USDNOK,15
