date,delta,gamma,vega,theta
2020-10-16,-3652582.2019951656,-285831.9579723393,-3476.9015740549144,5414.355775411883
2020-10-19,-3794474.717581142,-390774.7571553322,-3956.0101071609497,5524.674698723565
2020-10-20,-3743817.5932547264,-387826.5467967314,-3880.6021938442163,5552.030449065759
2020-10-21,-3761794.484331701,-391581.6195664367,-3799.4197217208643,5568.297545044474
2020-10-22,-3741330.596232531,-390307.6268561116,-3750.267372219303,5625.594947624004
2020-10-23,-3753303.990012226,-360433.9148195953,-3659.331842205247,5528.211977431623
2020-10-26,-3415916.448280984,-303615.12685836357,-3480.49824376121,4854.193681528392
2020-10-27,-3442260.274536439,-372055.5270722375,-3997.3187896334407,5964.72846680476
2020-10-28,-3468841.14928924,-308096.368657668,-3633.1084222254412,5307.546941556867
2020-10-29,-3543318.2481699,-334745.19910539035,-3415.1031076698127,3800.0650493394996
2020-10-30,-3456039.834209482,-310787.18883882085,-3338.10767112958,3604.5924268027447
2020-11-02,-3437898.8295923173,-303820.4413402914,-3180.8598692386045,3488.995249740273
2020-11-03,-3350352.657553401,-287364.8775430486,-3328.389008919165,3853.6283436904505
2020-11-04,-3445960.7322124746,-347272.8561968592,-3755.180338137463,4660.893902897474
2020-11-05,-3533831.3502400494,-326750.88737886987,-3581.673964696119,4329.040021111296
2020-11-06,-3461397.168392582,-317461.3746993478,-3477.5635487903505,3785.602952733679
2020-11-09,-3346718.4317153436,-298810.0084399513,-3397.891851006264,4035.0702837077065
2020-11-10,-3256555.8041313514,-298813.8954231377,-3303.686581341928,3608.655366902016
2020-11-11,-3330704.993114367,-307762.28207189136,-3653.5408668100376,4859.810431071511
2020-11-12,-3366670.7140415823,-298996.6025067268,-3566.8776080780453,4621.718110400417
2020-11-13,-3252580.4706329405,-309901.0892106198,-3509.9936086774787,4270.201100713307
2020-11-16,-3247420.9725920316,-298712.0654240815,-3278.917960624829,3843.050381338328
2020-11-17,-3072186.0365617624,-292465.5805167112,-3212.478033510304,3903.203403785267
2020-11-18,-3076710.3756201495,-323283.7039034838,-3509.1706365908285,4499.829956169722
2020-11-19,-3061988.9915186055,-337542.5027123346,-3497.5914378933303,4207.927727840744
2020-11-20,-2985441.1288181636,-338843.8651897356,-3440.6537355155533,4118.370320741405
